josemar@ARAUTO ~/projects/sn9c103/gspca/elgin $ dmesg | grep gspca
[ 2689.179735] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 261
[ 2689.179737] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 262
[ 2689.191585] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 263
[ 2689.191811] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: sd_stopN - 264
[ 2689.191814] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: sd_init - 265
[ 2689.191816] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 266
[ 2689.192288] gspca_elgin_sn9c103 2-1.3:1.0: alt 5 - bandwidth not wide enough, trying again
[ 2689.222366] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: sd_start - 267
[ 2689.222373] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 268
[ 2689.222693] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 269
[ 2689.222925] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 270
[ 2689.223180] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w_vector - 271
[ 2689.223184] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 272
[ 2689.223187] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 273
[ 2689.235570] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 274
[ 2689.235797] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 275
[ 2689.235802] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 276
[ 2689.247556] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 277
[ 2689.247739] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 278
[ 2689.247743] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 279
[ 2689.259594] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 280
[ 2689.259821] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 281
[ 2689.259826] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 282
[ 2689.275567] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 283
[ 2689.275732] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 284
[ 2689.275736] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 285
[ 2689.287560] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 286
[ 2689.287771] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 287
[ 2689.287775] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 288
[ 2689.299522] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 289
[ 2689.299757] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 290
[ 2689.299765] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 291
[ 2689.311562] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 292
[ 2689.311785] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 293
[ 2689.311790] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 294
[ 2689.323518] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 295
[ 2689.323767] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 296
[ 2689.323784] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 297
[ 2689.335537] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 298
[ 2689.335798] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 299
[ 2689.335804] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 300
[ 2689.347527] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 301
[ 2689.347834] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 302
[ 2689.347839] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 303
[ 2689.359603] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 304
[ 2689.359954] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 305
[ 2689.359959] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 306
[ 2689.375523] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 307
[ 2689.375759] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 308
[ 2689.375775] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 309
[ 2689.391499] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 310
[ 2689.391827] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 311
[ 2689.391845] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 312
[ 2689.403525] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 313
[ 2689.403816] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 314
[ 2689.403821] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 315
[ 2689.415473] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 316
[ 2689.415629] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 317
[ 2689.415633] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 318
[ 2689.427530] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 319
[ 2689.427820] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 320
[ 2689.427839] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 321
[ 2689.443435] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 322
[ 2689.443658] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 323
[ 2689.443663] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 324
[ 2689.455458] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 325
[ 2689.455757] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 326
[ 2689.455869] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 327
[ 2689.456008] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 328
[ 2689.456133] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 329
[ 2689.456375] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 330
[ 2689.456484] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 331
[ 2689.456615] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 332
[ 2689.456741] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 333
[ 2689.456890] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 334
[ 2689.483419] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: setgain - 335
[ 2689.483440] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 336
[ 2689.483443] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 337
[ 2689.495450] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 338
[ 2689.495743] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: setbrightness - 339
[ 2689.495748] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 340
[ 2689.495752] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 341
[ 2689.511420] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 342
[ 2689.511598] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: setexposure - 343
[ 2689.511613] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 344
[ 2689.511616] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 345
[ 2689.523433] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 346
[ 2689.523630] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: setfreq - 347
[ 2689.523634] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 348
[ 2689.523636] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 349
[ 2689.535522] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 350
[ 2689.535816] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: sd_stopN - 351
[ 2689.535834] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: sd_init - 352
[ 2689.535836] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 353
[ 2689.536419] gspca_elgin_sn9c103 2-1.3:1.0: alt 4 - bandwidth not wide enough, trying again
[ 2689.566034] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: sd_start - 354
[ 2689.566054] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 355
[ 2689.566262] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 356
[ 2689.566370] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 357
[ 2689.566632] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w_vector - 358
[ 2689.566649] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 359
[ 2689.566652] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 360
[ 2689.575372] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 361
[ 2689.575523] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 362
[ 2689.575526] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 363
[ 2689.587424] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 364
[ 2689.587692] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 365
[ 2689.587710] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 366
[ 2689.599379] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 367
[ 2689.599558] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 368
[ 2689.599576] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 369
[ 2689.611389] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 370
[ 2689.611643] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 371
[ 2689.611647] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 372
[ 2689.623384] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 373
[ 2689.623638] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 374
[ 2689.623645] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 375
[ 2689.635419] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 376
[ 2689.635733] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 377
[ 2689.635737] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 378
[ 2689.647411] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 379
[ 2689.647686] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 380
[ 2689.647691] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 381
[ 2689.659358] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 382
[ 2689.659480] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 383
[ 2689.659483] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 384
[ 2689.671381] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 385
[ 2689.671671] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 386
[ 2689.671678] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 387
[ 2689.683316] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 388
[ 2689.683519] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 389
[ 2689.683536] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 390
[ 2689.695330] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 391
[ 2689.695545] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 392
[ 2689.695550] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 393
[ 2689.707328] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 394
[ 2689.707524] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 395
[ 2689.707545] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 396
[ 2689.719323] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 397
[ 2689.719719] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 398
[ 2689.719723] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 399
[ 2689.731377] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 400
[ 2689.731571] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 401
[ 2689.731576] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 402
[ 2689.743376] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 403
[ 2689.743647] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 404
[ 2689.743652] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 405
[ 2689.755338] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 406
[ 2689.755588] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 407
[ 2689.755593] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 408
[ 2689.771339] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 409
[ 2689.771568] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 410
[ 2689.771573] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 411
[ 2689.783254] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 412
[ 2689.783558] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 413
[ 2689.783785] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 414
[ 2689.784007] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 415
[ 2689.784130] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 416
[ 2689.784384] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 417
[ 2689.784504] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 418
[ 2689.784630] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 419
[ 2689.784754] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 420
[ 2689.784849] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 421
[ 2689.811339] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: setgain - 422
[ 2689.811361] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 423
[ 2689.811364] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 424
[ 2689.827332] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 425
[ 2689.827591] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: setbrightness - 426
[ 2689.827597] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 427
[ 2689.827600] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 428
[ 2689.843224] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 429
[ 2689.843379] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: setexposure - 430
[ 2689.843384] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 431
[ 2689.843387] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 432
[ 2689.855361] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 433
[ 2689.855531] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: setfreq - 434
[ 2689.855535] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 435
[ 2689.855538] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 436
[ 2689.871216] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 437
[ 2689.871555] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: sd_stopN - 438
[ 2689.871558] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: sd_init - 439
[ 2689.871560] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 440
[ 2689.872090] gspca_elgin_sn9c103 2-1.3:1.0: alt 3 - bandwidth not wide enough, trying again
[ 2689.901856] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: sd_start - 441
[ 2689.901876] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 442
[ 2689.902019] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 443
[ 2689.902120] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 444
[ 2689.902374] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w_vector - 445
[ 2689.902378] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 446
[ 2689.902381] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 447
[ 2689.911215] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 448
[ 2689.911563] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 449
[ 2689.911579] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 450
[ 2689.923214] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 451
[ 2689.923417] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 452
[ 2689.923421] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 453
[ 2689.935188] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 454
[ 2689.935544] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 455
[ 2689.935559] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 456
[ 2689.947194] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 457
[ 2689.947382] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 458
[ 2689.947384] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 459
[ 2689.959184] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 460
[ 2689.959538] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 461
[ 2689.959540] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 462
[ 2689.971158] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 463
[ 2689.971402] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 464
[ 2689.971405] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 465
[ 2689.983144] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 466
[ 2689.983535] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 467
[ 2689.983538] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 468
[ 2689.995243] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 469
[ 2689.995569] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 470
[ 2689.995574] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 471
[ 2690.007202] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 472
[ 2690.007584] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 473
[ 2690.007591] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 474
[ 2690.019181] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 475
[ 2690.019401] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 476
[ 2690.019406] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 477
[ 2690.031192] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 478
[ 2690.031614] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 479
[ 2690.031620] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 480
[ 2690.043170] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 481
[ 2690.043444] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 482
[ 2690.043449] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 483
[ 2690.055146] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 484
[ 2690.055621] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 485
[ 2690.055639] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 486
[ 2690.071139] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 487
[ 2690.071571] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 488
[ 2690.071575] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 489
[ 2690.083185] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 490
[ 2690.083435] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 491
[ 2690.083440] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 492
[ 2690.095215] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 493
[ 2690.095625] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 494
[ 2690.095631] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 495
[ 2690.107179] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 496
[ 2690.107442] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 497
[ 2690.107447] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 498
[ 2690.123143] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 499
[ 2690.123446] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 500
[ 2690.123691] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 501
[ 2690.123940] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 502
[ 2690.124161] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 503
[ 2690.124410] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 504
[ 2690.124656] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 505
[ 2690.124911] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 506
[ 2690.125158] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 507
[ 2690.125407] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 508
[ 2690.151156] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: setgain - 509
[ 2690.151166] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 510
[ 2690.151170] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 511
[ 2690.163160] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 512
[ 2690.163410] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: setbrightness - 513
[ 2690.163427] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 514
[ 2690.163431] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 515
[ 2690.175161] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 516
[ 2690.175535] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: setexposure - 517
[ 2690.175555] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 518
[ 2690.175558] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 519
[ 2690.187137] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 520
[ 2690.187389] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: setfreq - 521
[ 2690.187392] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 522
[ 2690.187394] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 523
